subcatch_id,area,imperv_percent,depress_stor_perv,depress_stor_imperv,hrtn_init, hrtn_decay, hrtn_final,storm_id,total_rain,time,area_acre,imp_area,perv_area,imp_vol,infil,per_vol,runoff
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/10/2011-16:05:36,0.24,530,80.09536,4.877807424,75.217552576,0.05690775328,0.424114214178,0.0,0.05690775328
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/9/2011-16:20:47,0.16,1203,80.09536,4.877807424,75.217552576,0.02438903712,0.681178841145,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/7/2011-22:19:22,0.16,3250,80.09536,4.877807424,75.217552576,0.02438903712,1.07084634193,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/7/2011-18:22:53,0.12,4826,80.09536,4.877807424,75.217552576,0.00812967904,1.32484993383,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/6/2011-19:01:42,0.2,6479,80.09536,4.877807424,75.217552576,0.0406483952,1.58978311216,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/6/2011-14:05:34,0.12,309,80.09536,4.877807424,75.217552576,0.00812967904,0.284879556571,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,6/20/2011-1:06:41,0.92,10579,80.09536,4.877807424,75.217552576,0.33331684064,2.24669268592,0.0,0.33331684064
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/24/2011-9:29:48,0.16,24975,80.09536,4.877807424,75.217552576,0.02438903712,4.55322972613,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/19/2011-0:22:33,0.16,48866,80.09536,4.877807424,75.217552576,0.02438903712,8.38106220437,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/18/2011-15:04:35,0.16,6041,80.09536,4.877807424,75.217552576,0.02438903712,1.51960074831,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/11/2011-1:36:05,0.48,16978,80.09536,4.877807424,75.217552576,0.15446390176,3.27194487709,0.0,0.15446390176
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/3/2011-13:16:12,0.12,2288,80.09536,4.877807424,75.217552576,0.00812967904,0.909326111947,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/19/2010-20:45:43,0.12,610,80.09536,4.877807424,75.217552576,0.00812967904,0.465433435007,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/16/2010-12:52:59,0.12,599,80.09536,4.877807424,75.217552576,0.00812967904,0.459991126768,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/13/2010-13:59:31,0.24,315,80.09536,4.877807424,75.217552576,0.05690775328,0.289239032118,0.0,0.05690775328
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/8/2010-18:06:53,0.24,5382,80.09536,4.877807424,75.217552576,0.05690775328,1.41399153473,0.0,0.05690775328
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/30/2010-18:01:52,0.2,1642,80.09536,4.877807424,75.217552576,0.0406483952,0.786084655445,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/28/2010-15:02:39,0.48,3682,80.09536,4.877807424,75.217552576,0.15446390176,1.14092047625,0.0,0.15446390176
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/20/2010-19:39:30,0.24,4535,80.09536,4.877807424,75.217552576,0.05690775328,1.27816159868,0.0,0.05690775328
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/20/2010-17:25:39,0.16,877,80.09536,4.877807424,75.217552576,0.02438903712,0.578431685028,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/4/2010-23:12:58,0.12,1009,80.09536,4.877807424,75.217552576,0.00812967904,0.623647379005,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/4/2010-21:05:47,0.2,1764,80.09536,4.877807424,75.217552576,0.0406483952,0.811293163844,0.0,0.0406483952
